Epoch,TrainingLoss,LearningRate,TrainingAccuracy
1,4.72226,0.001,0.01878
2,4.26291,0.002,0.05982
3,3.911,0.002,0.10056
4,3.66482,0.002,0.13956
5,3.49153,0.002,0.16558
6,3.3577,0.002,0.18888
7,3.22941,0.002,0.2112
8,3.12467,0.002,0.22866
9,3.03285,0.002,0.24634
10,2.9429,0.002,0.26026
11,2.86839,0.002,0.27552
12,2.78728,0.002,0.29318
13,2.71986,0.002,0.30662
14,2.66517,0.002,0.31518
15,2.59858,0.002,0.33034
16,2.53417,0.002,0.3423
17,2.4718,0.002,0.35784
18,2.42158,0.002,0.36806
19,2.36345,0.002,0.37996
20,2.30864,0.002,0.3927
21,2.2507,0.002,0.40462
22,2.21235,0.002,0.41318
23,2.15059,0.002,0.42412
24,2.10675,0.002,0.4322
25,2.06012,0.002,0.44418
26,2.01118,0.002,0.45568
27,1.9635,0.002,0.46624
28,1.91617,0.002,0.4777
29,1.87403,0.002,0.48346
30,1.8293,0.002,0.49564
31,1.78496,0.002,0.5046
32,1.73706,0.002,0.51396
33,1.70729,0.002,0.52244
34,1.65455,0.002,0.53542
35,1.6154,0.002,0.54246
36,1.57719,0.002,0.55102
37,1.52416,0.002,0.5626
38,1.46895,0.002,0.5771
39,1.43459,0.002,0.5858
40,1.39977,0.002,0.59488
41,1.34816,0.002,0.60614
42,1.31397,0.002,0.61468
43,1.26572,0.002,0.628
44,1.22082,0.002,0.63958
45,1.18835,0.002,0.6477
46,1.15303,0.002,0.65416
47,1.10866,0.002,0.66768
48,1.0883,0.002,0.67382
49,1.03605,0.002,0.688
50,0.9972,0.002,0.70098
51,0.95425,0.002,0.7122
52,0.9163,0.002,0.72086
53,0.89321,0.002,0.72796
54,0.86967,0.002,0.73594
55,0.84038,0.002,0.74044
56,0.79848,0.002,0.75308
57,0.77362,0.002,0.76274
58,0.74478,0.002,0.77046
59,0.72284,0.002,0.77674
60,0.68137,0.002,0.7904
61,0.4021,0.0004,0.88088
62,0.31277,0.0004,0.91032
63,0.28043,0.0004,0.91952
64,0.25817,0.0004,0.92944
65,0.23942,0.0004,0.9345
66,0.22663,0.0004,0.93694
67,0.20783,0.0004,0.9437
68,0.19971,0.0004,0.9461
69,0.18906,0.0004,0.94934
70,0.18109,0.0004,0.9519
71,0.17839,0.0004,0.95136
72,0.17451,0.0004,0.95236
73,0.16174,0.0004,0.95652
74,0.15808,0.0004,0.95866
75,0.15273,0.0004,0.9593
76,0.14595,0.0004,0.96176
77,0.14708,0.0004,0.96114
78,0.13891,0.0004,0.96384
79,0.13502,0.0004,0.96504
80,0.1318,0.0004,0.96548
81,0.12765,0.0004,0.96716
82,0.12817,0.0004,0.96694
83,0.12429,0.0004,0.96766
84,0.11972,0.0004,0.96906
85,0.11625,0.0004,0.96956
86,0.11539,0.0004,0.97092
87,0.1115,0.0004,0.97208
88,0.1068,0.0004,0.97292
89,0.10831,0.0004,0.97228
90,0.10547,0.0004,0.9741
91,0.10234,0.0004,0.97412
92,0.10327,0.0004,0.97218
93,0.1012,0.0004,0.9748
94,0.09564,0.0004,0.977
95,0.09508,0.0004,0.97624
96,0.09336,0.0004,0.9771
97,0.09209,0.0004,0.97742
98,0.09001,0.0004,0.97752
99,0.08945,0.0004,0.9783
100,0.08993,0.0004,0.9782
101,0.08829,0.0004,0.97784
102,0.08517,0.0004,0.97956
103,0.08522,0.0004,0.97944
104,0.08325,0.0004,0.97982
105,0.08225,0.0004,0.97984
106,0.08157,0.0004,0.9802
107,0.07864,0.0004,0.9805
108,0.07855,0.0004,0.9808
109,0.07657,0.0004,0.98128
110,0.07509,0.0004,0.98212
111,0.07628,0.0004,0.98136
112,0.07347,0.0004,0.98252
113,0.07136,0.0004,0.98232
114,0.07135,0.0004,0.98374
115,0.06964,0.0004,0.98374
116,0.0689,0.0004,0.9841
117,0.07062,0.0004,0.9833
118,0.06842,0.0004,0.98382
119,0.06699,0.0004,0.98424
120,0.06683,0.0004,0.98442
121,0.05846,8e-05,0.9867
122,0.05732,8e-05,0.98756
123,0.05376,8e-05,0.9887
124,0.05422,8e-05,0.98766
125,0.0527,8e-05,0.98828
126,0.05126,8e-05,0.98934
127,0.05068,8e-05,0.98964
128,0.0502,8e-05,0.98914
129,0.04893,8e-05,0.98988
130,0.04919,8e-05,0.98962
131,0.04787,8e-05,0.98992
132,0.04967,8e-05,0.98864
133,0.04789,8e-05,0.9903
134,0.04827,8e-05,0.9898
135,0.0462,8e-05,0.99044
136,0.04689,8e-05,0.98996
137,0.04795,8e-05,0.98984
138,0.0473,8e-05,0.99028
139,0.04646,8e-05,0.9906
140,0.0467,8e-05,0.99034
141,0.0487,8e-05,0.98946
142,0.04458,8e-05,0.99092
143,0.04525,8e-05,0.99044
144,0.04418,8e-05,0.99058
145,0.04562,8e-05,0.99046
146,0.04679,8e-05,0.98986
147,0.04471,8e-05,0.9905
148,0.0442,8e-05,0.99064
149,0.04504,8e-05,0.99068
150,0.04345,8e-05,0.99096
