Epoch,TrainingLoss,LearningRate,TrainingAccuracy
1,4.66252,0.001,0.02446
2,4.16644,0.002,0.0732
3,3.81874,0.002,0.11646
4,3.57357,0.002,0.15236
5,3.42381,0.002,0.17584
6,3.28212,0.002,0.19998
7,3.20354,0.002,0.21656
8,3.0654,0.002,0.24062
9,2.95605,0.002,0.26176
10,2.92983,0.002,0.26744
11,2.82744,0.002,0.28688
12,2.772,0.002,0.2965
13,2.72694,0.002,0.30634
14,2.61011,0.002,0.3285
15,2.57816,0.002,0.33682
16,2.52198,0.002,0.34784
17,2.79033,0.002,0.2975
18,2.62316,0.002,0.32648
19,2.68548,0.002,0.3182
20,2.61217,0.002,0.33196
21,2.57939,0.002,0.3353
22,2.48847,0.002,0.35346
23,2.40459,0.002,0.37388
24,2.51409,0.002,0.35048
25,2.28337,0.002,0.39622
26,2.23999,0.002,0.40614
27,2.1816,0.002,0.41612
28,2.09844,0.002,0.43706
29,2.06917,0.002,0.44268
30,2.00742,0.002,0.45518
31,1.97811,0.002,0.45998
32,1.92007,0.002,0.47618
33,1.89006,0.002,0.4791
34,1.84066,0.002,0.49276
35,1.83666,0.002,0.49238
36,1.79246,0.002,0.50368
37,1.72689,0.002,0.51778
38,1.66983,0.002,0.52972
39,1.62499,0.002,0.54088
40,1.59582,0.002,0.54688
41,1.55316,0.002,0.55812
42,1.50591,0.002,0.5717
43,1.48796,0.002,0.57082
44,1.4321,0.002,0.58616
45,1.45539,0.002,0.57846
46,1.37487,0.002,0.6024
47,1.32022,0.002,0.61332
48,1.27074,0.002,0.62632
49,1.23699,0.002,0.63536
50,1.20487,0.002,0.64244
