Epoch,TrainingLoss,LearningRate,TrainingAccuracy
1,4.14261,0.1,0.07154
2,3.84621,0.2,0.10234
3,3.9195,0.2,0.09552
4,3.92723,0.2,0.09074
5,3.94454,0.2,0.08786
6,3.95433,0.2,0.08548
7,3.95984,0.2,0.08228
8,3.97035,0.2,0.08204
9,3.96528,0.2,0.08308
10,3.93685,0.2,0.08584
11,3.95015,0.2,0.08222
12,3.97801,0.2,0.08096
13,4.00572,0.2,0.0751
14,4.01976,0.2,0.0727
15,4.01843,0.2,0.07312
16,4.01438,0.2,0.07044
17,4.01727,0.2,0.07498
18,4.02521,0.2,0.07264
19,4.0242,0.2,0.0726
20,4.01626,0.2,0.07354
21,4.02721,0.2,0.06944
22,4.0473,0.2,0.06834
23,4.06455,0.2,0.06808
24,4.04933,0.2,0.06568
25,4.0457,0.2,0.0683
26,4.04029,0.2,0.0704
27,4.03716,0.2,0.06948
28,4.04015,0.2,0.07158
29,4.09519,0.2,0.05952
30,4.08236,0.2,0.06238
31,4.08387,0.2,0.06206
32,4.08534,0.2,0.06386
33,4.08915,0.2,0.06232
34,4.08498,0.2,0.06094
35,4.08483,0.2,0.06212
36,4.09681,0.2,0.06246
37,4.097,0.2,0.06128
38,4.09626,0.2,0.06136
39,4.08355,0.2,0.06162
40,4.09359,0.2,0.06024
41,4.09798,0.2,0.05998
42,4.13072,0.2,0.05446
43,4.1287,0.2,0.0551
44,4.12513,0.2,0.05462
45,4.13709,0.2,0.05318
46,4.12642,0.2,0.0553
47,4.12635,0.2,0.05572
48,4.12735,0.2,0.0547
49,4.13054,0.2,0.0549
50,4.1301,0.2,0.05456
51,4.12663,0.2,0.05482
52,4.1251,0.2,0.05688
53,4.12658,0.2,0.05632
54,4.13012,0.2,0.05458
55,4.12894,0.2,0.05306
56,4.13537,0.2,0.05446
57,4.12772,0.2,0.05648
58,4.13444,0.2,0.0548
59,4.12507,0.2,0.0546
60,4.14019,0.2,0.05458
61,3.86387,0.04,0.08284
62,3.81087,0.04,0.09182
63,3.77831,0.04,0.09816
64,3.75951,0.04,0.10128
65,3.74167,0.04,0.10448
66,3.71447,0.04,0.10752
67,3.70094,0.04,0.11144
68,3.68825,0.04,0.11036
69,3.67862,0.04,0.11612
70,3.67398,0.04,0.1168
71,3.65713,0.04,0.11764
72,3.6497,0.04,0.11852
73,3.63975,0.04,0.12048
74,3.63684,0.04,0.12
75,3.63551,0.04,0.12418
76,3.63015,0.04,0.1241
77,3.62294,0.04,0.12586
78,3.61515,0.04,0.12734
79,3.61792,0.04,0.12466
80,3.61913,0.04,0.12412
81,3.6063,0.04,0.12726
82,3.59934,0.04,0.12792
83,3.59868,0.04,0.1309
84,3.5995,0.04,0.12816
85,3.59113,0.04,0.12926
86,3.60391,0.04,0.12774
87,3.58934,0.04,0.13056
88,3.58894,0.04,0.13002
89,3.58297,0.04,0.13046
90,3.58331,0.04,0.131
91,3.58911,0.04,0.12944
92,3.57775,0.04,0.13054
93,3.57974,0.04,0.13276
94,3.58021,0.04,0.13144
95,3.57574,0.04,0.13518
96,3.57745,0.04,0.13234
97,3.57281,0.04,0.13254
98,3.56967,0.04,0.1318
99,3.56949,0.04,0.132
100,3.57553,0.04,0.13226
101,3.57024,0.04,0.13384
102,3.56908,0.04,0.13268
103,3.57008,0.04,0.13352
104,3.5731,0.04,0.12992
105,3.57,0.04,0.13384
106,3.57162,0.04,0.13406
107,3.57123,0.04,0.1337
108,3.55947,0.04,0.1346
109,3.57286,0.04,0.13084
110,3.56003,0.04,0.13454
111,3.55763,0.04,0.1353
112,3.5616,0.04,0.13412
113,3.55748,0.04,0.13486
114,3.56747,0.04,0.13284
115,3.56314,0.04,0.13272
116,3.56231,0.04,0.13436
117,3.55879,0.04,0.1333
118,3.55887,0.04,0.13594
119,3.56768,0.04,0.1327
120,3.56217,0.04,0.13392
121,3.30056,0.008,0.18188
122,3.23688,0.008,0.1944
123,3.22225,0.008,0.19784
124,3.21136,0.008,0.2024
125,3.20302,0.008,0.204
126,3.20364,0.008,0.20204
127,3.18998,0.008,0.20458
128,3.18758,0.008,0.2092
129,3.19298,0.008,0.20734
130,3.18993,0.008,0.20842
131,3.18604,0.008,0.2081
132,3.17103,0.008,0.21034
133,3.17385,0.008,0.20808
134,3.17376,0.008,0.21318
135,3.16637,0.008,0.2114
136,3.16461,0.008,0.2104
137,3.15324,0.008,0.21436
138,3.15919,0.008,0.21504
139,3.15941,0.008,0.21238
140,3.153,0.008,0.216
141,3.15066,0.008,0.21468
142,3.13686,0.008,0.21884
143,3.13584,0.008,0.22096
144,3.13863,0.008,0.21852
145,3.1391,0.008,0.21746
146,3.13334,0.008,0.21932
147,3.13473,0.008,0.21868
148,3.13361,0.008,0.22124
149,3.12561,0.008,0.222
150,3.11816,0.008,0.2195
