Epoch,TrainingLoss,LearningRate,TrainingAccuracy
1,4.28997,0.001,0.05804
2,3.67175,0.002,0.13614
3,3.36028,0.002,0.19044
4,3.11318,0.002,0.23226
5,2.93857,0.002,0.2655
6,2.79616,0.002,0.29288
7,2.67859,0.002,0.31856
8,2.57509,0.002,0.3343
9,2.4929,0.002,0.35276
10,2.40888,0.002,0.36742
11,2.33802,0.002,0.38438
12,2.28067,0.002,0.39826
13,2.21649,0.002,0.41192
14,2.15755,0.002,0.42426
15,2.11302,0.002,0.43396
16,2.05865,0.002,0.44492
17,2.02006,0.002,0.45436
18,1.96041,0.002,0.47032
19,1.92362,0.002,0.47688
20,1.89115,0.002,0.48216
21,1.84204,0.002,0.4951
22,1.80212,0.002,0.50334
23,1.77048,0.002,0.5122
24,1.74387,0.002,0.51556
25,1.70389,0.002,0.52656
26,1.66623,0.002,0.53442
27,1.64793,0.002,0.53958
28,1.61319,0.002,0.54922
29,1.58008,0.002,0.555
30,1.55161,0.002,0.56182
31,1.52733,0.002,0.5676
32,1.50662,0.002,0.57294
33,1.46941,0.002,0.58202
34,1.43986,0.002,0.5891
35,1.40575,0.002,0.59694
36,1.39094,0.002,0.59938
37,1.3636,0.002,0.6073
38,1.34425,0.002,0.6131
39,1.31207,0.002,0.62056
40,1.29795,0.002,0.62324
41,1.26945,0.002,0.63164
42,1.24006,0.002,0.63828
43,1.22934,0.002,0.6389
44,1.20054,0.002,0.64844
45,1.18593,0.002,0.65186
46,1.1671,0.002,0.6551
47,1.14328,0.002,0.66278
48,1.11039,0.002,0.67296
49,1.10872,0.002,0.66992
50,1.07944,0.002,0.67874
