Epoch,TrainingLoss,LearningRate,TrainingAccuracy
1,4.12663,0.1,0.07256
2,3.82443,0.2,0.10714
3,3.89929,0.2,0.09932
4,3.91327,0.2,0.09442
5,3.93584,0.2,0.08906
6,3.93075,0.2,0.09102
7,3.92756,0.2,0.08898
8,3.94468,0.2,0.08744
9,3.95749,0.2,0.08408
10,3.99672,0.2,0.07784
11,3.97749,0.2,0.0824
12,3.97515,0.2,0.07868
13,3.97316,0.2,0.07864
14,3.98443,0.2,0.07762
15,3.98858,0.2,0.07928
16,4.01177,0.2,0.07518
17,4.01593,0.2,0.07268
18,4.02049,0.2,0.074
19,4.01601,0.2,0.07374
20,4.01122,0.2,0.07374
21,4.0196,0.2,0.07446
22,4.04096,0.2,0.07126
23,4.04062,0.2,0.06848
24,4.02696,0.2,0.0725
25,4.01546,0.2,0.07172
26,4.0203,0.2,0.07246
27,4.00719,0.2,0.07138
28,4.00662,0.2,0.07168
29,4.03536,0.2,0.06904
30,4.0501,0.2,0.0683
31,4.02491,0.2,0.06954
32,4.02081,0.2,0.07108
33,4.02109,0.2,0.0707
34,4.01902,0.2,0.07184
35,4.0172,0.2,0.07112
36,4.00881,0.2,0.07368
37,4.00823,0.2,0.07406
38,4.03263,0.2,0.07114
39,4.02952,0.2,0.07096
40,4.03492,0.2,0.0689
41,4.04145,0.2,0.06994
42,4.09676,0.2,0.05964
43,4.10529,0.2,0.05842
44,4.09495,0.2,0.06022
45,4.10831,0.2,0.06056
46,4.10216,0.2,0.06028
47,4.08885,0.2,0.0599
48,4.08019,0.2,0.0631
49,4.11089,0.2,0.05768
50,4.15119,0.2,0.05126
