Epoch,TrainingLoss,LearningRate,TrainingAccuracy
1,4.96389,0.1,0.04904
2,4.0753,0.2,0.07094
3,3.81023,0.2,0.10726
4,3.69662,0.2,0.1263
5,3.61756,0.2,0.13862
6,3.57046,0.2,0.1476
7,3.53428,0.2,0.15408
8,3.49645,0.2,0.16056
9,3.47274,0.2,0.16356
10,3.47294,0.2,0.16338
11,3.4358,0.2,0.1693
12,3.43244,0.2,0.17272
13,3.42431,0.2,0.17314
14,3.41432,0.2,0.17488
15,3.4161,0.2,0.17404
16,3.40788,0.2,0.17608
17,3.39305,0.2,0.1773
18,3.4074,0.2,0.1783
19,3.40816,0.2,0.17768
20,3.40501,0.2,0.17612
21,3.39568,0.2,0.17918
22,3.39906,0.2,0.17914
23,3.40224,0.2,0.17984
24,3.39272,0.2,0.1783
25,3.39065,0.2,0.17906
26,3.40172,0.2,0.17974
27,3.39938,0.2,0.17732
28,3.39743,0.2,0.17908
29,3.39598,0.2,0.17892
30,3.37806,0.2,0.18076
31,3.37362,0.2,0.1821
32,3.38544,0.2,0.18138
33,3.38117,0.2,0.17962
34,3.37982,0.2,0.1807
35,3.38988,0.2,0.1791
36,3.3811,0.2,0.17992
37,3.39009,0.2,0.18096
38,3.38627,0.2,0.17756
39,3.38237,0.2,0.18294
40,3.38322,0.2,0.18106
41,3.38577,0.2,0.17982
42,3.37553,0.2,0.18338
43,3.38466,0.2,0.17962
44,3.38317,0.2,0.17832
45,3.39145,0.2,0.17874
46,3.39173,0.2,0.1787
47,3.38152,0.2,0.18058
48,3.3925,0.2,0.17814
49,3.38769,0.2,0.17912
50,3.38669,0.2,0.1813
