Epoch,TrainingLoss,LearningRate,TrainingAccuracy
1,5.06733,0.1,0.02656
2,4.26696,0.2,0.04604
3,4.20106,0.2,0.05154
4,4.1945,0.2,0.0522
5,4.19765,0.2,0.04894
6,4.20297,0.2,0.0488
7,4.18056,0.2,0.04958
8,4.222,0.2,0.04532
9,4.24566,0.2,0.04238
10,4.25017,0.2,0.04122
11,4.2574,0.2,0.03766
12,4.26395,0.2,0.0406
13,4.24769,0.2,0.03876
14,4.25878,0.2,0.03732
15,4.251,0.2,0.03924
16,4.26662,0.2,0.03788
17,4.2514,0.2,0.03802
18,4.25636,0.2,0.03838
19,4.28547,0.2,0.03484
20,4.28089,0.2,0.03478
21,4.28448,0.2,0.03642
22,4.27524,0.2,0.03488
23,4.26847,0.2,0.03678
24,4.28671,0.2,0.03548
25,4.28085,0.2,0.03606
26,4.28028,0.2,0.0364
27,4.27793,0.2,0.03532
28,4.28116,0.2,0.037
29,4.28342,0.2,0.0337
30,4.28763,0.2,0.0351
31,4.27625,0.2,0.03686
32,4.27619,0.2,0.03722
33,4.32071,0.2,0.03276
34,4.37629,0.2,0.02974
35,4.36911,0.2,0.0296
36,4.36217,0.2,0.03058
37,4.35515,0.2,0.02998
38,4.36033,0.2,0.0319
39,4.35765,0.2,0.03074
40,4.36842,0.2,0.02926
41,4.38033,0.2,0.02784
42,4.4465,0.2,0.02064
43,4.44613,0.2,0.0211
44,4.45336,0.2,0.01976
45,4.44542,0.2,0.0202
46,4.44258,0.2,0.02138
47,4.55211,0.2,0.01454
48,4.4896,0.2,0.01742
49,4.49145,0.2,0.01924
50,4.48691,0.2,0.01916
