Epoch,TrainingLoss,LearningRate,TrainingAccuracy
1,4.38661,0.001,0.04602
2,3.72728,0.002,0.12914
3,3.38847,0.002,0.18328
4,3.15019,0.002,0.22456
5,2.98309,0.002,0.25736
6,2.83798,0.002,0.28494
7,2.70874,0.002,0.30994
8,2.6172,0.002,0.32696
9,2.51736,0.002,0.3511
10,2.43568,0.002,0.3653
11,2.363,0.002,0.37982
12,2.29184,0.002,0.39454
13,2.23696,0.002,0.40824
14,2.1728,0.002,0.4189
15,2.11853,0.002,0.43312
16,2.06769,0.002,0.4426
17,2.01376,0.002,0.45588
18,1.9695,0.002,0.46598
19,1.91707,0.002,0.4782
20,1.87005,0.002,0.48638
21,1.8318,0.002,0.49626
22,1.78833,0.002,0.50594
23,1.74939,0.002,0.51448
24,1.70492,0.002,0.5248
25,1.66113,0.002,0.53588
26,1.63206,0.002,0.54184
27,1.58354,0.002,0.5532
28,1.5583,0.002,0.56096
29,1.52696,0.002,0.56984
30,1.4843,0.002,0.57792
31,1.44767,0.002,0.58568
32,1.41725,0.002,0.59496
33,1.37512,0.002,0.60294
34,1.34531,0.002,0.61444
35,1.30292,0.002,0.62282
36,1.29208,0.002,0.62498
37,1.25738,0.002,0.63426
38,1.21789,0.002,0.64374
39,1.18757,0.002,0.65062
40,1.15953,0.002,0.65704
41,1.12657,0.002,0.66922
42,1.0959,0.002,0.6747
43,1.06232,0.002,0.6837
44,1.03964,0.002,0.68848
45,1.01344,0.002,0.69908
46,0.99413,0.002,0.70228
47,0.97095,0.002,0.70818
48,0.93948,0.002,0.71708
49,0.90831,0.002,0.72834
50,0.88926,0.002,0.73182
