Epoch,TrainingLoss,LearningRate,TrainingAccuracy
1,4.59489,0.01,0.04492
2,4.0506,0.02,0.09814
3,3.78897,0.02,0.12248
4,3.42896,0.02,0.1758
5,3.51162,0.02,0.16328
6,3.36067,0.02,0.1872
7,3.31503,0.02,0.19554
8,3.14169,0.02,0.22486
9,3.08254,0.02,0.23832
10,2.99285,0.02,0.25412
11,2.93823,0.02,0.26296
12,2.90524,0.02,0.269
13,2.71988,0.02,0.3073
14,2.66126,0.02,0.31808
15,2.58112,0.02,0.33332
16,2.49292,0.02,0.35142
17,2.44313,0.02,0.36258
18,2.42693,0.02,0.3677
19,2.38589,0.02,0.37404
20,2.3245,0.02,0.38696
21,2.29747,0.02,0.39172
22,2.25293,0.02,0.40588
23,2.19938,0.02,0.41368
24,2.20206,0.02,0.4146
25,2.16851,0.02,0.42014
26,2.06941,0.02,0.44114
27,2.022,0.02,0.45222
28,2.01643,0.02,0.45532
29,1.96075,0.02,0.46616
30,1.92382,0.02,0.47358
31,1.87903,0.02,0.4809
32,1.85638,0.02,0.48908
33,1.82719,0.02,0.49312
34,1.79493,0.02,0.50172
35,1.76354,0.02,0.5085
36,1.74217,0.02,0.51486
37,1.71583,0.02,0.52176
38,1.69722,0.02,0.52378
39,1.66919,0.02,0.53072
40,1.64552,0.02,0.53592
41,1.62985,0.02,0.54096
42,1.60659,0.02,0.54674
43,1.58522,0.02,0.55124
44,1.57341,0.02,0.55402
45,1.55513,0.02,0.55856
46,1.5334,0.02,0.56454
47,1.51278,0.02,0.56868
48,1.50226,0.02,0.57276
49,1.476,0.02,0.57636
50,1.45762,0.02,0.58122
