Epoch,TrainingLoss,LearningRate,TrainingAccuracy
1,4.10646,0.01,0.0797
2,3.52196,0.02,0.16084
3,3.18103,0.02,0.21652
4,2.92085,0.02,0.26692
5,2.74146,0.02,0.30212
6,2.6037,0.02,0.33176
7,2.49681,0.02,0.34964
8,2.4049,0.02,0.3719
9,2.31544,0.02,0.39334
10,2.25288,0.02,0.40316
11,2.1864,0.02,0.4164
12,2.14835,0.02,0.42492
13,2.09757,0.02,0.4372
14,2.05881,0.02,0.44594
15,2.01569,0.02,0.45208
16,1.97894,0.02,0.46242
17,1.94784,0.02,0.47154
18,1.92065,0.02,0.47636
19,1.89693,0.02,0.48158
20,1.87244,0.02,0.48678
21,1.84931,0.02,0.49466
22,1.82554,0.02,0.49894
23,1.8129,0.02,0.50176
24,1.78495,0.02,0.50798
25,1.76375,0.02,0.51328
26,1.74461,0.02,0.51604
27,1.72786,0.02,0.52128
28,1.71672,0.02,0.52204
29,1.69902,0.02,0.52714
30,1.67951,0.02,0.53228
31,1.66456,0.02,0.5363
32,1.65155,0.02,0.53908
33,1.63711,0.02,0.54232
34,1.61428,0.02,0.54606
35,1.61155,0.02,0.54964
36,1.60225,0.02,0.55036
37,1.57628,0.02,0.55686
38,1.57582,0.02,0.55566
39,1.56488,0.02,0.55834
40,1.55017,0.02,0.56316
41,1.5337,0.02,0.56478
42,1.52487,0.02,0.56898
43,1.51948,0.02,0.56884
44,1.51152,0.02,0.5731
45,1.50087,0.02,0.57692
46,1.48274,0.02,0.57892
47,1.48396,0.02,0.57912
48,1.47167,0.02,0.5816
49,1.46234,0.02,0.58308
50,1.4527,0.02,0.5866
