Epoch,TrainingLoss,LearningRate,TrainingAccuracy
1,4.084,0.1,0.0789
2,3.6248,0.2,0.1378
3,3.45324,0.2,0.1696
4,3.35228,0.2,0.18726
5,3.27442,0.2,0.19784
6,3.22479,0.2,0.21008
7,3.18863,0.2,0.21738
8,3.1777,0.2,0.21776
9,3.16127,0.2,0.22066
10,3.13598,0.2,0.22774
11,3.14299,0.2,0.22648
12,3.12595,0.2,0.2272
13,3.117,0.2,0.22964
14,3.10647,0.2,0.23102
15,3.10985,0.2,0.23218
16,3.11567,0.2,0.2317
17,3.10674,0.2,0.23404
18,3.09701,0.2,0.23552
19,3.09363,0.2,0.23488
20,3.108,0.2,0.233
21,3.09551,0.2,0.23586
22,3.09566,0.2,0.23508
23,3.10061,0.2,0.23266
24,3.09054,0.2,0.23348
25,3.09383,0.2,0.23492
26,3.08875,0.2,0.23368
27,3.09504,0.2,0.23634
28,3.09815,0.2,0.23482
29,3.09515,0.2,0.23456
30,3.09638,0.2,0.23306
31,3.09792,0.2,0.23378
32,3.09031,0.2,0.2368
33,3.0881,0.2,0.23552
34,3.09141,0.2,0.23482
35,3.09511,0.2,0.23604
36,3.10069,0.2,0.23444
37,3.09026,0.2,0.2372
38,3.09548,0.2,0.2358
39,3.07724,0.2,0.23972
40,3.08912,0.2,0.23678
41,3.09846,0.2,0.23446
42,3.09101,0.2,0.2361
43,3.0875,0.2,0.23696
44,3.08053,0.2,0.23838
45,3.09672,0.2,0.23646
46,3.09565,0.2,0.23274
47,3.09419,0.2,0.23514
48,3.09013,0.2,0.23388
49,3.08674,0.2,0.23744
50,3.07815,0.2,0.24008
